"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1368731_at",1.39249638333333,13.4163360185185,11.0625523278057,7.61850984688718e-12,2.36928037728344e-07,16.4812844417595
"1377014_at",-2.30625282666667,4.74170686296296,-9.68270413667062,1.57863722521739e-10,2.45470195335178e-06,13.7705665348164
"1371076_at",2.42087715,12.4071546666667,9.33339330116645,3.53473650036845e-10,3.27810323287555e-06,13.0389956659374
"1390255_at",1.782758115,7.25898693333333,9.21397674784739,4.67335745780196e-10,3.27810323287555e-06,12.7846199928255
"1391570_at",1.64116820333333,6.50548486296296,9.16280414310638,5.27043189953946e-10,3.27810323287555e-06,12.6749457468216
"1394022_at",-1.40379019166667,9.76369035185185,-8.83901180348205,1.13690713047381e-09,5.89277914176752e-06,11.9716818587693
"1380336_at",1.32745219666667,6.91533259259259,8.48459391630965,2.6795838739104e-09,9.63778115790011e-06,11.1835149184258
"1372136_at",-0.866634933333333,8.94129264814815,-8.47372953515405,2.75165884176948e-09,9.63778115790011e-06,11.1590521049896
"1398597_at",-1.307324715,5.9650597,-8.46819145221051,2.78915818582916e-09,9.63778115790011e-06,11.1465753737441
"1377192_a_at",-1.180870625,10.4549678888889,-8.26282631127665,4.62056779751936e-09,1.33585252360839e-05,10.6806327721093
"1367982_at",1.49568085833333,11.3448433518519,8.2407984670629,4.87923282114015e-09,1.33585252360839e-05,10.6302773838711
"1378029_at",-1.67928983166667,7.67488242962963,-8.21862358723048,5.15458062423249e-09,1.33585252360839e-05,10.5795123113542
"1384408_at",1.73381619833333,7.12761606296296,7.91376106117427,1.10350046090129e-08,2.58550390016797e-05,9.87416144403822
"1390801_at",-1.09316800833333,5.17704401481481,-7.89258551639217,1.16392985634109e-08,2.58550390016797e-05,9.82465824229476
"1367957_at",1.94434054166667,9.21729551481481,7.77784910257351,1.55530229300578e-08,3.22455640067911e-05,9.5552951520542
"1380863_at",-0.603674246666666,4.84296595185185,-7.75183223810181,1.66134893997319e-08,3.22914316776414e-05,9.49395043088942
"1387109_at",1.928520075,10.2447245,7.63539971445003,2.23414458174582e-08,4.0870389616302e-05,9.21822355096154
"1373068_at",0.841325,8.85938644444444,7.47230072809142,3.39275754609107e-08,5.51249257552247e-05,8.82874642615562
"1368213_at",2.00661726666667,10.1237243703704,7.46902947388401,3.42142059400138e-08,5.51249257552247e-05,8.82089656042666
"1371777_at",0.833819916666667,9.97650087037037,7.44360390464442,3.6527787235626e-08,5.51249257552247e-05,8.75983337818696
"1370698_at",1.4613999,11.9959866666667,7.42975998163279,3.7853876284242e-08,5.51249257552247e-05,8.72654749210088
"1371840_at",-1.4694032,10.4071710555556,-7.40167431216023,4.06968055732067e-08,5.51249257552247e-05,8.65893782059947
"1370269_at",2.19937779333333,6.31250891851852,7.3959015866287,4.13075717789559e-08,5.51249257552247e-05,8.64502786197336
"1379509_at",-0.922620514999999,5.38208845555556,-7.3789946462768,4.31506024690808e-08,5.51249257552247e-05,8.6042625398836
"1388874_at",0.859091416666668,11.0517392592593,7.35392058181315,4.60393352292733e-08,5.51249257552247e-05,8.543732805512
"1378126_at",0.626924776666667,6.31899939259259,7.3487309927771,4.66613961180289e-08,5.51249257552247e-05,8.53119420168682
"1387630_at",-1.07825326666667,10.2762079074074,-7.33893370813227,4.78591914656763e-08,5.51249257552247e-05,8.50751289222543
"1369012_at",-0.947113543333333,5.89749549259259,-7.31375805557664,5.10827172660649e-08,5.62369538046057e-05,8.44660013163955
"1384143_at",-1.67049931,7.01768324444444,-7.30362849994224,5.24412894412542e-08,5.62369538046057e-05,8.42206728172559
"1373225_at",0.5037413,9.35583044444444,7.26108154940561,5.85614166915304e-08,5.84021432014162e-05,8.31887102335382
"1388348_at",-0.750387333333333,12.1837561481481,-7.25905596133995,5.88702863169254e-08,5.84021432014162e-05,8.31395194338494
"1394494_at",-0.99507689,7.75064322222222,-7.24466974420586,6.11121806717613e-08,5.84021432014162e-05,8.27899960083587
"1392929_at",-1.44812455833333,8.07717131481481,-7.2392935753697,6.19721124681416e-08,5.84021432014162e-05,8.26593069410322
"1381350_at",-1.105871615,6.77946425555556,-7.22357860491127,6.45570259119877e-08,5.90487926128502e-05,8.22770707444039
"1396155_at",2.1605422,9.93023188888889,7.20218671984077,6.82530332521007e-08,6.0645745174488e-05,8.17562252896261
"1383486_at",-2.386333335,8.04317826666667,-7.13377574247946,8.15829652480636e-08,7.04763510069314e-05,8.00865002558408
"1396545_at",-0.893684976666667,5.24526436296296,-7.08629371934743,9.23659945072324e-08,7.76348665724438e-05,7.89239847777755
"1390107_at",-1.266474355,5.73085887777778,-7.06872484496929,9.6713864825876e-08,7.91501179531557e-05,7.84930988496552
"1370374_at",-1.39314802333333,7.45152095925926,-7.04817504842587,1.02064364605172e-07,8.00210106365555e-05,7.79885987138919
"1389318_at",-0.762362141666666,8.95282085185185,-7.03923342432202,1.0448551060525e-07,8.00210106365555e-05,7.77689111390092
"1370331_at",-0.558347678333333,7.27184957037037,-7.02916602681668,1.07281447632267e-07,8.00210106365555e-05,7.75214416664091
"1374870_at",-0.758071236666666,7.09334362962963,-7.02637331616733,1.0807043463569e-07,8.00210106365555e-05,7.74527702949644
"1395629_at",-0.831429763333334,5.97399772592593,-6.96008090849187,1.28634665848804e-07,9.30327784472546e-05,7.58197610455719
"1371446_at",-0.605779533333333,8.71348048148148,-6.94149207685794,1.35085653489031e-07,9.3420452201285e-05,7.53608585444713
"1395403_at",-2.95134994666667,8.23671264074074,-6.93677551144456,1.36774129040606e-07,9.3420452201285e-05,7.52443518439988
"1380251_at",-1.011222735,4.3046215,-6.93288612756152,1.38182603982736e-07,9.3420452201285e-05,7.51482569344994
"1383604_at",-0.952652195,7.60302482222222,-6.90323496448021,1.49416213733945e-07,9.88658474662117e-05,7.44150471030303
"1379226_at",-1.21335610666667,7.24547237407407,-6.8708834027337,1.62735040140924e-07,0.000105435354444638,7.36138205491297
"1372288_at",-0.719996258333333,7.68921003703704,-6.85359643634006,1.7034001644987e-07,0.000105578195073634,7.31851601152951
