"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1398250_at",9.54202266666667,8.32422666666667,146.629562670052,2.16800837673309e-32,6.74228925080224e-28,52.7394127734882
"1388211_s_at",7.11613462222222,9.82703424444444,72.3732762628267,3.93828323885867e-26,6.12383352226328e-22,46.3762142709307
"1391433_at",3.87056821111111,9.93527633888889,69.3175323497593,9.48436054734561e-26,9.83180428873004e-22,45.8209254906027
"1387740_at",4.47615051111111,8.07194707777778,63.192842841108,6.23812349190427e-25,4.84998506186827e-21,44.5681102473762
"1375845_at",4.84339887777778,9.31072133888889,58.7320534599164,2.76630058395518e-24,1.72058363720844e-20,43.5191783472857
"1374187_at",4.2006346,5.37430971111111,55.8921000027357,7.57770480160686e-24,3.92765069375286e-20,42.7816606050064
"1386885_at",3.60719144444444,11.7612313888889,55.0852146124,1.0183361040094e-23,4.52417635694118e-20,42.5612427341836
"1389253_at",5.16353392222222,9.58344798333333,51.8217432958108,3.52107075194784e-23,1.36877224143532e-19,41.6163573739431
"1384244_at",3.22177388888889,10.7879739444444,49.4983365406995,8.93398020116031e-23,3.08708722528761e-19,40.8871087882182
"1367680_at",2.066581,13.0214801666667,45.2722794115896,5.45637779665042e-22,1.69687893098031e-18,39.4237037811606
"1379361_at",3.74382785555555,9.74170429444444,42.3732628942949,2.08353612234733e-21,5.89053544262542e-18,38.3035877536121
"1370491_a_at",5.69724708888889,8.05575845555556,40.2833957429933,5.79404005651786e-21,1.50157376431374e-17,37.4292763544537
"1397468_at",3.49630421111111,9.83061450555556,38.9874037488732,1.12170913360727e-20,2.6833871035425e-17,36.8562130797246
"1367659_s_at",3.59582877777778,12.2308506666667,38.1484763715225,1.74019017775055e-20,3.86558388127602e-17,36.4718077559957
"1387783_a_at",2.82844166666667,12.8650337222222,37.5805296951045,2.35527902690513e-20,4.88312149718151e-17,36.2053080372151
"1377867_at",5.49303876666667,6.47704450555556,36.2725066050576,4.81140075999348e-20,9.35185951468983e-17,35.5714488592944
"1367694_at",1.91374194444445,12.0709259722222,35.9158117327677,5.87160076516485e-20,1.07412301291683e-16,35.3935535164576
"1368283_at",3.35059666666667,12.6608656666667,35.0493085286168,9.602196668911e-20,1.65114442821369e-16,34.9520088946599
"1368934_at",3.40301233333333,12.2273283888889,34.9635401573358,1.00877018991158e-19,1.65114442821369e-16,34.9075639062047
"1367742_at",5.44097447777778,8.51494898333333,34.8620787795897,1.06954536182991e-19,1.66308956037743e-16,34.8548116067667
"1398249_at",1.93428244444444,10.3888106666667,34.1679133290346,1.6031345188151e-19,2.37408954288719e-16,34.4887245975597
"1390358_at",4.52568436666667,6.64981803888889,34.0476421775877,1.72097579295317e-19,2.43275573568412e-16,34.4243640929222
"1371886_at",3.8408684,9.48164357777778,33.845836578467,1.93954539492772e-19,2.62251835812422e-16,34.3157424922575
"1389251_at",2.64825677777778,10.0463098888889,33.7719189253468,2.0267215921408e-19,2.62620894974945e-16,34.2757575729232
"1375349_at",2.22690383333333,9.44265619444444,33.1610886582867,2.92512756178808e-19,3.6387416817619e-16,33.9411902077954
"1367950_at",2.92272748888889,8.17847258888889,32.4746214665862,4.45290699437119e-19,5.32619056222883e-16,33.5561471086828
"1370164_at",1.89541477777778,11.8389426666667,31.9234566645505,6.27889684157872e-19,7.23212640282432e-16,33.2398288156183
"1368206_at",2.06933983333333,9.33238302777778,31.4235792231327,8.61779606388472e-19,9.57160142109825e-16,32.9472447546995
"1376813_at",1.436773,10.0702023888889,30.7763515425504,1.30798134446241e-18,1.4026521321185e-15,32.560099076914
"1380431_at",2.71075696666667,8.55577679444444,30.6193292424088,1.44915430485768e-18,1.50224165755897e-15,32.4647246997591
"1377014_at",4.63137258888889,7.01680237222222,30.5180577105137,1.54860140553788e-18,1.55354693905879e-15,32.4029074166522
"1379606_at",4.19991858888889,8.56178303888889,29.9848273879843,2.20415711529282e-18,2.14209631651536e-15,32.0734039097044
"1368475_at",2.72064822222222,6.27633266666667,29.7629933469636,2.55734888234757e-18,2.41003008764022e-15,31.9343035443121
"1380004_at",2.77559926666667,6.36978432222222,29.3083998094974,3.47948079113962e-18,3.18259920951915e-15,31.6454531105421
"1369150_at",3.53875816666667,10.26074625,29.0359551133561,4.19382985909018e-18,3.69923537853788e-15,31.4698469176917
"1381722_at",2.8250012,6.09489267777778,29.0056777602578,4.28221079865473e-18,3.69923537853788e-15,31.4502142725449
"1393230_s_at",2.18750844444444,9.25882438888889,28.4053209248154,6.50351261491603e-18,5.32745522786642e-15,31.0559978181497
"1393915_at",1.45261433333333,11.0558780555556,28.4039814030874,6.50964013823351e-18,5.32745522786642e-15,31.055107609554
"1380536_at",5.56589613333333,7.36134971111111,28.1754773438546,7.64884804724697e-18,6.0992698825983e-15,30.9025457046722
"1370814_at",1.53618855555556,11.16787,27.9630147651435,8.89621095999064e-18,6.91658161611872e-15,30.7594256550297
"1378169_at",5.20308127777778,7.79482169444444,27.3624985077756,1.37164708667455e-17,1.02189716007258e-14,30.348148481964
"1385343_at",2.35805894444444,4.74346193888889,27.3540678176488,1.38009841869669e-17,1.02189716007258e-14,30.3423022677278
"1388756_at",1.78916938888889,9.85095847222222,27.1012154679662,1.66067015981238e-17,1.18005957757615e-14,30.1660161692564
"1367777_at",2.10884761111111,12.0260381944444,27.0939285300867,1.66959135063348e-17,1.18005957757615e-14,30.1609084596363
"1390457_at",3.78351797777778,8.35317601111111,26.5722768488135,2.45889417837002e-17,1.69931444562509e-14,29.7912161167132
"1377037_at",3.48244182222222,9.63689564444444,26.4704215122161,2.65419234026063e-17,1.79440712151664e-14,29.7180877290261
"1383111_at",-2.58107403333333,7.13709187222222,-26.4333320392975,2.72928632849995e-17,1.80591650063872e-14,29.6913811489562
"1376076_at",3.3510771,7.35180300555556,26.2258292286013,3.19253657827518e-17,2.06843114682875e-14,29.5411959634527
"1387574_at",3.35700232222222,6.27418840555556,26.1945554833543,3.26920151289295e-17,2.07487546631546e-14,29.5184466939524
"1384474_at",4.34109265555556,6.54982930555556,25.976182587564,3.8612585700915e-17,2.40162560542551e-14,29.3587553248122
"1382924_at",1.55352244444444,10.8720914444444,25.6147544901029,5.10082824417053e-17,3.11040505030312e-14,29.0911710862034
"1368509_at",2.86623171111111,6.72776408888889,25.3826428346993,6.11141690597328e-17,3.6549798915166e-14,28.9171310120182
"1378074_at",3.36283383333333,11.2028326388889,25.1443305458804,7.36964161992059e-17,4.32431103279077e-14,28.7366212070039
"1368355_at",3.18623435555556,6.27348955555556,24.9697865853329,8.46167071781556e-17,4.87313884543233e-14,28.6032253661504
"1389169_at",1.63584177777778,9.99598105555556,24.3792302226945,1.35974144995359e-16,7.68847260947393e-14,28.1442717723008
"1388908_at",1.57412261111111,11.8687948611111,24.2950235220505,1.45616271118979e-16,8.08664359915914e-14,28.077853057438
