"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1368731_at",1.39249638333333,13.4163360185185,11.0625523278057,7.61850984688718e-12,2.36928037728344e-07,16.4812844417595
"1377014_at",-2.30625282666667,4.74170686296296,-9.68270413667062,1.57863722521739e-10,2.45470195335178e-06,13.7705665348164
"1371076_at",2.42087715,12.4071546666667,9.33339330116645,3.53473650036845e-10,3.27810323287555e-06,13.0389956659374
"1390255_at",1.782758115,7.25898693333333,9.21397674784739,4.67335745780196e-10,3.27810323287555e-06,12.7846199928255
"1391570_at",1.64116820333333,6.50548486296296,9.16280414310638,5.27043189953946e-10,3.27810323287555e-06,12.6749457468216
"1394022_at",-1.40379019166667,9.76369035185185,-8.83901180348205,1.13690713047381e-09,5.89277914176752e-06,11.9716818587693
"1380336_at",1.32745219666667,6.91533259259259,8.48459391630965,2.6795838739104e-09,9.63778115790011e-06,11.1835149184258
"1372136_at",-0.866634933333333,8.94129264814815,-8.47372953515405,2.75165884176948e-09,9.63778115790011e-06,11.1590521049896
"1398597_at",-1.307324715,5.9650597,-8.46819145221051,2.78915818582916e-09,9.63778115790011e-06,11.1465753737441
"1377192_a_at",-1.180870625,10.4549678888889,-8.26282631127665,4.62056779751936e-09,1.33585252360839e-05,10.6806327721093
