"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1398250_at",9.54202266666667,8.32422666666667,146.629562670052,2.16800837673309e-32,6.74228925080224e-28,52.7394127734882
"1388211_s_at",7.11613462222222,9.82703424444444,72.3732762628267,3.93828323885867e-26,6.12383352226328e-22,46.3762142709307
"1391433_at",3.87056821111111,9.93527633888889,69.3175323497593,9.48436054734561e-26,9.83180428873004e-22,45.8209254906027
"1387740_at",4.47615051111111,8.07194707777778,63.192842841108,6.23812349190427e-25,4.84998506186827e-21,44.5681102473762
"1375845_at",4.84339887777778,9.31072133888889,58.7320534599164,2.76630058395518e-24,1.72058363720844e-20,43.5191783472857
"1374187_at",4.2006346,5.37430971111111,55.8921000027357,7.57770480160686e-24,3.92765069375286e-20,42.7816606050064
"1386885_at",3.60719144444444,11.7612313888889,55.0852146124,1.0183361040094e-23,4.52417635694118e-20,42.5612427341836
"1389253_at",5.16353392222222,9.58344798333333,51.8217432958108,3.52107075194784e-23,1.36877224143532e-19,41.6163573739431
"1384244_at",3.22177388888889,10.7879739444444,49.4983365406995,8.93398020116031e-23,3.08708722528761e-19,40.8871087882182
"1367680_at",2.066581,13.0214801666667,45.2722794115896,5.45637779665042e-22,1.69687893098031e-18,39.4237037811606
