Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
SRR1177963_1	54.8234800337	101.0	17897455.0	30.0	48.0
SRR1177963_2	52.2835595717	101.0	17897455.0	30.0	48.0
SRR1177964_1	57.3258821095	101.0	19342910.0	30.0	48.0
SRR1177964_2	54.7709213246	101.0	19342910.0	30.0	48.0
SRR1177965_1	54.5126629196	101.0	16849678.0	30.0	48.0
SRR1177965_2	51.8494234473	101.0	16849678.0	30.0	48.0
SRR1177997_1	59.5793152992	101.0	19746775.0	30.0	49.0
SRR1177997_2	58.6440548908	101.0	19746775.0	20.0	49.0
SRR1177999_1	60.1926347995	101.0	21838440.0	30.0	49.0
SRR1177999_2	58.8584064864	101.0	21838440.0	20.0	49.0
SRR1178002_1	58.520434851	101.0	18844950.0	30.0	49.0
SRR1178002_2	57.5829213108	101.0	18844950.0	20.0	49.0
SRR1178014_1	53.9275841492	50.0	17524782.0	20.0	49.0
SRR1178014_2	51.8563199784	50.0	17524782.0	20.0	49.0
SRR1178021_1	48.7061322875	100.0	17497925.0	20.0	49.0
SRR1178021_2	46.4398998631	100.0	17497925.0	20.0	49.0
SRR1178047_1	48.4901204535	100.0	17093302.0	20.0	49.0
SRR1178047_2	47.2918638523	100.0	17093302.0	20.0	49.0
