"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001008368",1021.57639190024,-0.20919129660556,0.133136742744092,0.0269139942188026,0.256388327456455
"NM_001106284",6.40558225632471,-0.0483513468917302,0.156544806904253,0.0847456012189409,0.423186286430083
"NM_001039611",241.981073717033,-0.101377462052381,0.133043137093569,0.214871712264355,0.619658182777389
"NM_001012742",79.7387630948671,-0.878357920153947,0.475480762885564,0.00198016597825451,0.0609721392789968
"NM_001105731",6.98009267688537,0.0153157663801386,0.145136809156107,0.61936859064067,0.881153849041854
"NM_001024899",24.7136091656647,0.00477776476025963,0.139436866500292,0.916071273818093,0.982053663525721
"NM_013070",854.806539452357,-0.250882188897204,0.239296913624039,0.0307514066369185,0.273438869080917
"NM_001108458",11.2116217850937,0.00617688815769217,0.143927302783354,0.847240320293309,0.961053126114218
"NM_001107515",12.6165634278631,0.0421919791360216,0.15214169405269,0.211062224285657,0.614097621794418
"NM_080894",20.5415371449532,-0.0125388760471148,0.140365530814884,0.777836776583505,0.939947586700926
"NM_001190999",68.1949201305572,-0.0260821795800653,0.135468508478358,0.652223619775162,0.893367304310742
"NM_012689",105.375048700765,0.106336411445415,0.199208132455955,0.0289546527576466,0.266022414977968
"NM_020093",55.4255695752484,0.0733714273456602,0.153991037320592,0.241537096945416,0.645395258955794
"NM_001101008",78.1338782250767,-0.0326989796055323,0.133575226832123,0.600163406818178,0.875113115313152
"NM_133406",30.8265078306654,-0.0282888222848624,0.139289412968468,0.59336493306039,0.872330695523907
"NM_001106231",15.0315788230925,-0.0612098245104389,0.158966363967528,0.152660148161951,0.536844870950634
"NM_031139",975.700743160144,-0.074663834686124,0.115268067041339,0.316411909652111,0.713532360393555
"NM_001039037",61.4365095377424,0.000674826520527164,0.129060245278702,0.992582330662276,0.998336375708316
"NM_053557",145.99224849284,-0.659068535722539,0.379005208851514,0.00280084716228761,0.0742075549138436
"NM_031013",9785.0177422513,0.0355738412153171,0.10832834495624,0.633963459610197,0.886534433969881
"NM_001127504",1331.65274421771,-0.025751287303004,0.120380943803022,0.715603339462538,0.914943313487693
"NM_001106268",95.8070252404212,-0.0894913083354096,0.149403944562022,0.231070560997873,0.636131107072897
"NM_001106271",1248.21728968127,-0.0343266611291339,0.120666653481503,0.631827908220197,0.886094976774401
"NM_177481",22.3095064555207,0.0666169775406547,0.162427555757456,0.124764575378426,0.50005958270702
"NM_031238",353.495671809753,-0.104199134467082,0.137492003581974,0.203682241952916,0.60517924461614
"NM_053554",1461.76849330635,-0.0413725831757179,0.0999538120511403,0.575036978707041,0.865406161084455
"NM_001013896",2406.66215844902,-0.0301063875901333,0.13423975649859,0.619432268752073,0.881153849041854
"NM_001107536",297.640466743274,0.00330697620857156,0.124437292785689,0.96304597738965,0.991805222217659
"NM_001024751",100.324455777244,-0.00665954086519511,0.127809329620895,0.914864965254993,0.981886331917665
"NM_172067",31.5006301035962,0.0208174378345051,0.140231220879518,0.664516608666467,0.899309562890621
"NM_001107542",2137.0374941546,-0.0922447082245152,0.109851234556814,0.244225951743848,0.648129881431026
"NM_012713",28.1542987106585,-0.0842174173578836,0.16712587579429,0.144248851706971,0.525547625032464
"NM_001172305",37.7812471759717,-0.000252188774334379,0.138817144556657,0.981320182634122,0.995424206396114
"NM_001013193",549.490832727953,-0.00657860285992632,0.111409869108108,0.927078298582664,0.984335216201442
"NM_001106300",674.761258520287,-0.0383267394351259,0.105195841999049,0.608785200395877,0.877160387373268
"NM_001108923",320.844899020442,-0.00452900648509083,0.126166926146861,0.942982510084363,0.987540437304175
"NM_201350",76.6379973793573,0.0466883175451177,0.143249262285893,0.413906211551604,0.776742516820253
"NM_032073",15.6401342017911,-0.0162202032611835,0.142226548980249,0.691966932030424,0.90791845318279
"NM_134380",3236.85138109541,0.0979102701826208,0.135418651322539,0.222493064046245,0.630007291441509
"NM_053823",154.824271653072,0.0973333219157665,0.172885054838812,0.132656608018872,0.509912460563925
"NM_001100975",524.68717620285,-0.0299695900915068,0.111266514382926,0.686064925201721,0.904984296070863
"NM_001024974",133.545481754422,-0.119565936609741,0.155245639755068,0.152206627144743,0.536581884441902
"NM_001013152",2303.93017201975,-0.140230271713405,0.141441428422365,0.11247474107522,0.478419558832487
"NM_001107585",532.969355532914,-0.134355705224917,0.137649564996861,0.123792040568253,0.498172823451853
"NM_053773",583.073489004473,-0.0944746691245852,0.137751022522598,0.236716905628218,0.640175179913501
"NM_001037793",912.146650198725,-0.0847790855540644,0.114225779697545,0.285071470805859,0.68642460697757
"NM_013155",37.9370517702416,0.0271518444761841,0.143164091974344,0.544806829413575,0.848667477312399
"NM_001354115",79.1712263681249,0.0174892773322196,0.132573440819604,0.771199691326197,0.93751055321933
"NM_133400",1368.58380870131,-0.164753289368881,0.21450481498016,0.0675731470975376,0.388392430010754
"NM_017365",566.969132872256,0.263965853535956,0.262046920690426,0.0263453050931241,0.254183843320142
"NM_017158",5642.99864619251,0.674615166668386,0.317501392138054,0.00140000953297815,0.0508010193161803
"NM_001007148",184.214288650059,0.103746171945356,0.150298789530385,0.193031652563308,0.59505209372848
"NM_001107606",204.777723755638,-0.102485569795233,0.156667649089665,0.183538260136094,0.581078680812773
"NM_001191052",534.244820325247,-0.00507131640936548,0.105133668214102,0.942438533361651,0.987329646547925
"NM_001047087",3818.43866140623,-0.322454718284183,0.273937547022639,0.0163222678487319,0.196322634604669
"NM_001108457",165.492116681363,-0.0885735275928471,0.148853242000145,0.233981328907931,0.63869486182402
"NM_030843",19.9818460819343,0.0443270384580216,0.150193858977068,0.293914902151788,0.692391203350165
"NM_001108901",18.9210123855208,0.0426020440674323,0.150956841181528,0.264176097732141,0.669258534381591
"NM_001107470",268.203325388958,-0.115921928499082,0.130271188137052,0.167878958059525,0.559095034303925
"NM_001276762",4.44219513953945,0.0500245510301102,0.158014110931466,0.0494767488760839,NA
"NM_214458",41.3642789457124,0.121083310198655,0.200906161979104,0.0666833165338042,0.385953868036954
"NM_001134425",243.274174833646,-0.0547390360907253,0.162392485434999,0.0015966026581422,0.0546240852279317
