"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001008368",947.59457496941,-0.419913776927836,0.130840083738448,0.000669511804678406,0.00516962952691374
"NM_001106284",15.151448627209,0.811214153322328,0.565246097983187,0.0149018142388513,0.0575623286868136
"NM_001039611",354.178367591188,0.81353455413544,0.150836445442481,1.31560837490223e-08,4.74292534610657e-07
"NM_001012742",94.4798803890295,-0.241075340578878,0.298614859785216,0.258531221072045,0.436240461371248
"NM_001105731",6.06912859857878,0.00826281086809384,0.353232091628718,0.961906521412191,NA
"NM_001024899",25.224633122201,0.10039110192467,0.279808279673837,0.621267937313709,0.758139235425683
"NM_013070",931.263385866319,-0.0825038395734913,0.197729879333262,0.629565712427357,0.764643281633917
"NM_001108458",9.22256398190485,-0.0992326287227887,0.358067011001406,0.575485054675571,0.727053515972932
"NM_001107515",32.4867814591952,2.43541956219242,0.537785173221876,3.2793944012848e-07,8.30701272440561e-06
"NM_080894",17.9473328683968,-0.228283888065523,0.336857519083326,0.290341719937091,0.470958167643657
"NM_001190999",60.3562284626277,-0.302405089496767,0.271925341084849,0.149708380027369,0.302801267702021
"NM_012689",46.3302203893189,-0.707824928154338,0.643803595000814,0.0257103084920776,0.0876587333626442
"NM_020093",46.4024885517277,-0.0287500848625007,0.245024361920082,0.880902770497363,0.930542802892995
"NM_001101008",89.8580974242439,0.263597913166147,0.203784525888237,0.134274749465503,0.281138588424997
"NM_133406",29.2639114865986,-0.150308585417123,0.282952123485063,0.464252946903156,0.636778673383853
"NM_001106231",13.2721006510674,-0.570734926798108,0.555229942524129,0.0463562487676387,0.133344347390451
"NM_031139",875.589422992503,-0.373165645232781,0.139246123517356,0.00415966845137641,0.02171951450909
"NM_001039037",83.1006416099985,0.737001310457862,0.244408547552663,0.000509396945902036,0.00416145393624378
"NM_053557",185.912748542439,0.000575828194154709,0.241025061015083,0.998994571140156,0.999278376416048
"NM_031013",8482.17100184992,-0.246374605234409,0.132688879146765,0.0502284812533943,0.140845088261111
"NM_001127504",1148.74845788103,-0.38440273325453,0.194542263554525,0.0245639998817484,0.0846004338933514
"NM_001106268",96.0369119974939,-0.136254194027614,0.220920101806492,0.459252956850869,0.632805262611365
"NM_001106271",1157.16705277427,-0.180434065898323,0.215154779002302,0.320383687252954,0.504053155861327
"NM_177481",18.4347025137278,0.144389888649492,0.341018767373097,0.471401881994408,0.643086410888148
"NM_031238",287.075616277635,-0.796896644341551,0.207944128800874,2.32191003309511e-05,0.000316618580436011
"NM_053554",1341.19381776809,-0.230878439351614,0.120508580837366,0.043676419995958,0.128118307252792
"NM_001013896",2071.37374809017,-0.395034317271158,0.27901086389365,0.0668878596621544,0.173371999211959
"NM_001107536",279.52980344811,-0.0654771100201685,0.217298926257259,0.718173902931202,0.826099415949285
"NM_001024751",102.872364020442,0.088278964536496,0.218894755744247,0.630424750970921,0.765176741579305
"NM_172067",23.3590098510229,-0.36551405597969,0.374992248453145,0.124368535013426,0.266870776214029
"NM_001107542",2028.35951403746,-0.209029741815338,0.122954875471012,0.0727970234917392,0.183332539935666
"NM_012713",22.6019104081479,-1.0642557472879,0.468315524488195,0.0021809640395683,0.0129424287359326
"NM_001172305",28.4945201349442,-0.391498967912702,0.450697425639307,0.105113518716735,0.236942829322423
"NM_001013193",522.234299069175,-0.0698388393784882,0.150934478912727,0.614825603222562,0.754582068206184
"NM_001106300",636.844911717704,-0.143406345403788,0.14386979328794,0.283976136766304,0.464844248049351
"NM_001108923",313.74077728196,-0.000756422080947352,0.201130203506233,0.994872971324931,0.997611846981702
"NM_201350",55.3822005623612,-0.370614079225627,0.357290608511848,0.11598689733808,0.253915137733491
"NM_032073",12.5054907857404,-0.358609757649363,0.449040222850386,0.125284901109705,0.268108673100043
"NM_134380",2491.98301858559,-0.414708989441877,0.19680806891951,0.0165037895436961,0.062216105977895
"NM_053823",157.759583260894,0.442808680758909,0.296488363926544,0.0500841137284177,0.14070172694502
"NM_001100975",596.524856465113,0.305467695245924,0.18744952244857,0.0656652374888615,0.170969165293282
"NM_001024974",141.984671406477,-0.0147529396152484,0.193698293459224,0.929397142832732,0.959275163156356
"NM_001013152",1864.51248237836,-0.872848759654197,0.167002586314574,2.84930693472173e-08,9.43486807255977e-07
"NM_001107585",521.718299430976,-0.19788712405568,0.145087796115734,0.141363167411778,0.291246174638309
"NM_053773",586.681737955118,-0.100950987998602,0.156394819993867,0.482184078903707,0.653072243295275
"NM_001037793",833.098544906304,-0.313916877633794,0.153919716437707,0.0266000230929688,0.0898751179114879
"NM_013155",165.905515403052,3.07129684972754,0.364144558586612,2.12141057677034e-18,3.79804405464832e-16
"NM_001354115",67.4382464992158,-0.185308796781678,0.279094048353022,0.369210142676907,0.55334374816915
"NM_133400",1500.87062871645,-0.0565107319960597,0.231505690927787,0.762509171069053,0.857569184112068
"NM_017365",627.401116685302,0.731597858886257,0.230618389701245,0.000308964576638949,0.00276107683844097
"NM_017158",1969.8892349859,-5.689819266925,0.274148393997118,7.62927379247431e-97,2.6862673023302e-93
"NM_001007148",198.546317332131,0.474091583025409,0.19091995612092,0.00530019127760528,0.0261861180848197
